,repeat time,n,m,d,s,pi1,pi2,Maxiter,lambda,rho,c,deg,error,error_sd,Nerror,error_to_tall,Q_loss_to_tall,error_to_all,Q_loss_to_all,beta_1,beta_14,beta_27
1,5,30,20,125,27,0.5,0.5,100,0.1,0.5,10,5,0.903816688,0.047767459,0.519569541,0.202567095,0.008172664,0.087544898,0.010580808,0.059492639,0.012868117,0.024493912
2,5,30,20,125,27,0.5,0.5,500,0.1,0.5,10,5,0.85238381,0.041978817,0.490002753,0.104454661,0.00221258,0.091437857,0.011496733,0.097435777,0.015943134,0.031376178
3,5,30,20,125,27,0.5,0.5,1000,0.1,0.5,10,5,0.851512604,0.048504318,0.48950193,0.084264719,0.002405173,0.088246491,0.011559178,0.096351291,0.017562917,0.031228003
4,5,30,20,125,27,0.5,0.5,1500,0.1,0.5,10,5,0.850696387,0.049375013,0.489032718,0.080353132,0.002594088,0.091681248,0.011317819,0.098314225,0.018823721,0.032607511
5,5,30,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.849523626,0.048047363,0.488358543,0.079057834,0.002660134,0.090913127,0.012351349,0.096980418,0.018904936,0.034183915
6,5,30,20,125,27,0.5,0.5,2500,0.1,0.5,10,5,0.849027373,0.047554743,0.488073266,0.078618711,0.002665023,0.090846637,0.010724402,0.096317785,0.015742196,0.029117144
7,5,30,20,125,27,0.5,0.5,3000,0.1,0.5,10,5,0.852926708,0.046083209,0.490314844,0.079076983,0.002749616,0.088294236,0.012057567,0.096252062,0.018735237,0.03295983
1,5,30,20,125,27,0.5,0.5,3500,0.1,0.5,10,5,0.850412827,0.044704627,0.48886971,0.078504202,0.002814979,0.090744471,0.013035455,0.097456884,0.019882084,0.033413746
2,5,30,20,125,27,0.5,0.5,4000,0.1,0.5,10,5,0.851464916,0.045506481,0.489474516,0.078003221,0.002754856,0.087524412,0.012532894,0.096729326,0.016983092,0.033105687
3,5,30,20,125,27,0.5,0.5,4500,0.1,0.5,10,5,0.851831218,0.046445645,0.489685089,0.077923902,0.002815506,0.088816114,0.011603723,0.098310871,0.019352461,0.033249029
4,5,30,20,125,27,0.5,0.5,5000,0.1,0.5,10,5,0.848804345,0.046534694,0.487945056,0.077866084,0.002816922,0.088501346,0.011695258,0.095778741,0.02010464,0.035505808
5,5,30,20,125,27,0.5,0.5,5500,0.1,0.5,10,5,0.849096873,0.046252482,0.488113219,0.07816259,0.002820083,0.089548273,0.01365823,0.096565433,0.018505328,0.031443737
6,5,30,20,125,27,0.5,0.5,6000,0.1,0.5,10,5,0.85050173,0.044957002,0.488920817,0.077730785,0.002866461,0.088765914,0.01187146,0.096607026,0.019905392,0.03259967
7,5,30,20,125,27,0.5,0.5,6500,0.1,0.5,10,5,0.851861021,0.048273867,0.489702222,0.078090059,0.002866793,0.088470569,0.012429683,0.093878967,0.018481507,0.031266311
8,5,30,20,125,27,0.5,0.5,7000,0.1,0.5,10,5,0.850125337,0.049295316,0.488704443,0.077605989,0.002869038,0.089337666,0.012408891,0.093087535,0.019603726,0.032302427
1,5,30,20,125,27,0.5,0.5,7500,0.1,0.5,10,5,0.851338329,0.044852915,0.489401746,0.077558998,0.002815711,0.087738917,0.012144885,0.094973435,0.019248879,0.033763579
2,5,30,20,125,27,0.5,0.5,8000,0.1,0.5,10,5,0.846689397,0.048826939,0.486729253,0.077493918,0.002882351,0.08952255,0.013270207,0.095023877,0.020100399,0.031903793
3,5,30,20,125,27,0.5,0.5,8500,0.1,0.5,10,5,0.850202692,0.045553397,0.488748912,0.077674424,0.002908007,0.088884494,0.011951503,0.09602681,0.017992348,0.034792313
4,5,30,20,125,27,0.5,0.5,9000,0.1,0.5,10,5,0.853885363,0.04782983,0.490865938,0.077759411,0.002866351,0.088543482,0.011855775,0.096826998,0.018736425,0.032860027
5,5,30,20,125,27,0.5,0.5,9500,0.1,0.5,10,5,0.851608986,0.046057046,0.489557337,0.0777767,0.002855423,0.089111843,0.01229277,0.095113526,0.016440708,0.033657833
6,5,30,20,125,27,0.5,0.5,10000,0.1,0.5,10,5,0.853085053,0.046068454,0.490405871,0.078049084,0.002853684,0.089272042,0.011754896,0.097517802,0.018383076,0.033535453
