,repeat time,n,m,d,s,pi1,pi2,Maxiter,lambda,rho,c,deg,error,error_sd,Nerror,error_to_tall,Q_loss_to_tall,error_to_all,Q_loss_to_all,beta_1,beta_14,beta_27
1,5,1000,20,125,27,0.5,0.5,100,0.2,0.5,10,5,0.99825255,0.005828969,0.573857096,0.148344982,0.006094577,0.002639512,3.70E-05,0.053356683,0.030059696,0.002998411
2,5,1000,20,125,27,0.5,0.5,500,0.2,0.5,10,5,0.980772968,0.006129718,0.563808754,0.036692424,0.000255143,0.00179238,0.000128055,0.064828885,0.032579526,0.004486197
3,5,1000,20,125,27,0.5,0.5,1000,0.2,0.5,10,5,0.981012621,0.006144177,0.563946522,0.018297649,5.51E-05,0.001666835,0.000125222,0.064793555,0.032545692,0.0044489
4,5,1000,20,125,27,0.5,0.5,1500,0.2,0.5,10,5,0.981303998,0.005926898,0.564114023,0.012255817,1.79E-05,0.001649646,0.000125502,0.064739938,0.032542877,0.004442179
5,5,1000,20,125,27,0.5,0.5,2000,0.2,0.5,10,5,0.980792761,0.005887236,0.563820133,0.009216406,6.17E-06,0.001672979,0.000127368,0.064790093,0.032555491,0.004447952
6,5,1000,20,125,27,0.5,0.5,2500,0.2,0.5,10,5,0.980996602,0.005727692,0.563937313,0.007394183,-8.96E-07,0.001638158,0.000126463,0.064731657,0.03258527,0.004448616
7,5,1000,20,125,27,0.5,0.5,3000,0.2,0.5,10,5,0.981339035,0.005635619,0.564134165,0.006211445,-4.42E-06,0.001643411,0.000124754,0.064747411,0.032539654,0.004405127
1,5,1000,20,125,27,0.5,0.5,3500,0.2,0.5,10,5,0.981278405,0.005624718,0.564099311,0.005397641,-6.09E-06,0.001628465,0.000126405,0.064707632,0.032548143,0.004431901
2,5,1000,20,125,27,0.5,0.5,4000,0.2,0.5,10,5,0.981231594,0.0054911,0.564072401,0.004786728,-6.85E-06,0.00163972,0.000126435,0.064712277,0.0325741,0.004433568
3,5,1000,20,125,27,0.5,0.5,4500,0.2,0.5,10,5,0.981020712,0.005442281,0.563951173,0.004295502,-9.02E-06,0.001548267,0.000123887,0.064745649,0.032609287,0.004446944
4,5,1000,20,125,27,0.5,0.5,5000,0.2,0.5,10,5,0.981108302,0.005543912,0.564001525,0.003894668,-1.01E-05,0.00161079,0.000124794,0.064810542,0.032634946,0.004458248
5,5,1000,20,125,27,0.5,0.5,5500,0.2,0.5,10,5,0.981102703,0.005645948,0.563998306,0.00357081,-1.00E-05,0.001629281,0.00012488,0.064735586,0.032617395,0.004443882
6,5,1000,20,125,27,0.5,0.5,6000,0.2,0.5,10,5,0.981206502,0.005698297,0.564057976,0.003308245,-1.12E-05,0.001657215,0.000123247,0.064747996,0.032620149,0.004449343
7,5,1000,20,125,27,0.5,0.5,6500,0.2,0.5,10,5,0.981335591,0.005863836,0.564132185,0.00311155,-1.15E-05,0.001611839,0.000124674,0.06468209,0.032529553,0.004384681
8,5,1000,20,125,27,0.5,0.5,7000,0.2,0.5,10,5,0.981257227,0.005945682,0.564087136,0.002946309,-1.26E-05,0.001636861,0.000123987,0.06467146,0.032577104,0.004413044
9,5,1000,20,125,27,0.5,0.5,7500,0.2,0.5,10,5,0.981189613,0.005905988,0.564048268,0.002805683,-1.04E-05,0.001622195,0.00012528,0.064675898,0.032579378,0.004414011
10,5,1000,20,125,27,0.5,0.5,8000,0.2,0.5,10,5,0.98117691,0.00575816,0.564040965,0.002674515,-1.18E-05,0.001599745,0.000124753,0.064659078,0.032551536,0.004388338
11,5,1000,20,125,27,0.5,0.5,8500,0.2,0.5,10,5,0.98113066,0.005813212,0.564014378,0.002560211,-1.25E-05,0.001583244,0.000123613,0.064710559,0.032593852,0.004436385
12,5,1000,20,125,27,0.5,0.5,9000,0.2,0.5,10,5,0.981019551,0.005729986,0.563950506,0.002455401,-1.05E-05,0.001612172,0.000124919,0.064714149,0.032601964,0.004436799
13,5,1000,20,125,27,0.5,0.5,9500,0.2,0.5,10,5,0.981221346,0.005774439,0.56406651,0.002360098,-1.11E-05,0.001581745,0.000126461,0.064746112,0.032605911,0.004439918
14,5,1000,20,125,27,0.5,0.5,10000,0.2,0.5,10,5,0.981357133,0.00564774,0.564144568,0.002281088,-1.11E-05,0.001598328,0.000125455,0.064697951,0.032584084,0.004434641
