,repeat time,n,m,d,s,pi1,pi2,Maxiter,lambda,rho,c,deg,error,error_sd,Nerror,error_to_tall,Q_loss_to_tall,error_to_all,Q_loss_to_all,beta_1,beta_14,beta_27
1,5,2500,20,125,27,0.5,0.5,500,0.1,0.5,10,5,0.726558177,0.00463335,0.417670423,0.058906604,0.000501912,0.001025025,2.44E-05,0.099987507,0.039556333,0.011779241
2,5,2500,20,125,27,0.5,0.5,1000,0.1,0.5,10,5,0.726667729,0.004635934,0.417733401,0.029518497,0.000128815,0.000914688,2.49E-05,0.099965844,0.039541481,0.011775226
3,5,2500,20,125,27,0.5,0.5,1500,0.1,0.5,10,5,0.726702606,0.004526621,0.41775345,0.019691593,5.88E-05,0.000920099,2.47E-05,0.099904712,0.039517221,0.011746934
4,5,2500,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.726684891,0.004659136,0.417743267,0.014796747,3.41E-05,0.000903523,2.48E-05,0.099922557,0.039505293,0.011757096
5,5,2500,20,125,27,0.5,0.5,2500,0.1,0.5,10,5,0.726674238,0.004701777,0.417737143,0.011862464,2.18E-05,0.000925691,2.50E-05,0.099893432,0.039519458,0.011774642
6,5,2500,20,125,27,0.5,0.5,3000,0.1,0.5,10,5,0.726658519,0.004723874,0.417728106,0.00989999,1.52E-05,0.000979735,2.53E-05,0.099889779,0.03952422,0.011759041
7,5,2500,20,125,27,0.5,0.5,3500,0.1,0.5,10,5,0.726658068,0.004765323,0.417727847,0.008499824,1.07E-05,0.000973349,2.40E-05,0.099901924,0.039516786,0.011769936
8,5,2500,20,125,27,0.5,0.5,4000,0.1,0.5,10,5,0.726664303,0.004757701,0.417731431,0.007448155,8.45E-06,0.000965957,2.45E-05,0.099900589,0.039517721,0.011759826
9,5,2500,20,125,27,0.5,0.5,4500,0.1,0.5,10,5,0.726669584,0.004754635,0.417734467,0.006635337,6.20E-06,0.000975874,2.49E-05,0.099912276,0.03950373,0.011762491
10,5,2500,20,125,27,0.5,0.5,5000,0.1,0.5,10,5,0.726677248,0.004715149,0.417738873,0.005987657,4.97E-06,0.00097248,2.43E-05,0.099908583,0.039505608,0.011781825
11,5,2500,20,125,27,0.5,0.5,5500,0.1,0.5,10,5,0.726686182,0.004699305,0.417744008,0.00545398,3.64E-06,0.00095175,2.39E-05,0.099917931,0.039504383,0.011761183
12,5,2500,20,125,27,0.5,0.5,6000,0.1,0.5,10,5,0.726636291,0.004728399,0.417715328,0.005013665,3.11E-06,0.000970166,2.46E-05,0.09991316,0.039512646,0.011778606
13,5,2500,20,125,27,0.5,0.5,6500,0.1,0.5,10,5,0.726628983,0.004772561,0.417711127,0.004636542,2.28E-06,0.000983754,2.42E-05,0.099936009,0.039530813,0.011774407
14,5,2500,20,125,27,0.5,0.5,7000,0.1,0.5,10,5,0.726680218,0.00477935,0.41774058,0.004315478,2.01E-06,0.001000856,2.41E-05,0.09993481,0.039528732,0.011766703
1,5,2500,20,125,27,0.5,0.5,7500,0.1,0.5,10,5,0.726637608,0.004750671,0.417716085,0.004037059,1.29E-06,0.000971188,2.44E-05,0.099941247,0.039520225,0.011784378
2,5,2500,20,125,27,0.5,0.5,8000,0.1,0.5,10,5,0.726662455,0.004703794,0.417730369,0.00379544,8.86E-07,0.00098959,2.41E-05,0.099943376,0.039522166,0.011788801
3,5,2500,20,125,27,0.5,0.5,8500,0.1,0.5,10,5,0.726698022,0.004729097,0.417750815,0.00358197,8.45E-07,0.000987998,2.43E-05,0.099918675,0.039527277,0.011767549
4,5,2500,20,125,27,0.5,0.5,9000,0.1,0.5,10,5,0.726695764,0.004739828,0.417749517,0.003396379,1.66E-07,0.001013727,2.47E-05,0.09994022,0.039528241,0.011778699
5,5,2500,20,125,27,0.5,0.5,9500,0.1,0.5,10,5,0.726667448,0.004710753,0.417733239,0.003228919,3.76E-07,0.001015675,2.46E-05,0.099959736,0.039515057,0.011790389
6,5,2500,20,125,27,0.5,0.5,10000,0.1,0.5,10,5,0.726704946,0.004757329,0.417754795,0.003078479,-9.89E-08,0.000958079,2.43E-05,0.099899804,0.039522223,0.011766117
