,repeat time,n,m,d,s,pi1,pi2,Maxiter,lambda,rho,c,deg,error,error_sd,Nerror,error_to_tall,Q_loss_to_tall,error_to_all,Q_loss_to_all,beta_1,beta_14,beta_27
1,5,1000,20,125,27,0.5,0.5,100,0.1,0.5,10,5,0.772547031,0.01006656,0.444107651,0.208927315,0.010615417,0.002899666,-3.73E-06,0.078190336,0.034932368,0.007080835
2,5,1000,20,125,27,0.5,0.5,500,0.1,0.5,10,5,0.724274544,0.011417775,0.416357651,0.059717322,0.000488828,0.002280394,5.96E-05,0.105504519,0.039653525,0.009643883
3,5,1000,20,125,27,0.5,0.5,1000,0.1,0.5,10,5,0.724450058,0.011380697,0.416458547,0.029826423,0.000118073,0.002112639,6.22E-05,0.105415416,0.039618306,0.009635054
4,5,1000,20,125,27,0.5,0.5,1500,0.1,0.5,10,5,0.724406772,0.011407855,0.416433663,0.019853838,4.85E-05,0.002178903,6.06E-05,0.105393276,0.03961853,0.009576954
5,5,1000,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.724303603,0.011369378,0.416374356,0.014865251,2.43E-05,0.002192238,6.20E-05,0.105481802,0.039641834,0.009625284
6,5,1000,20,125,27,0.5,0.5,2500,0.1,0.5,10,5,0.724496805,0.011380549,0.41648542,0.011861016,1.32E-05,0.002184242,6.26E-05,0.105431077,0.039632469,0.009622787
7,5,1000,20,125,27,0.5,0.5,3000,0.1,0.5,10,5,0.724634285,0.011534847,0.416564452,0.009918586,7.63E-06,0.002202855,6.36E-05,0.105398316,0.039596565,0.009621582
1,5,1000,20,125,27,0.5,0.5,3500,0.1,0.5,10,5,0.724621717,0.011551138,0.416557227,0.008544776,3.31E-06,0.002223786,6.26E-05,0.105309364,0.039653456,0.009626551
2,5,1000,20,125,27,0.5,0.5,4000,0.1,0.5,10,5,0.724680656,0.011530124,0.416591109,0.007532278,1.27E-06,0.002146967,6.24E-05,0.105330461,0.039654181,0.009617892
3,5,1000,20,125,27,0.5,0.5,4500,0.1,0.5,10,5,0.724610613,0.011543143,0.416550844,0.006744112,-9.75E-07,0.002162377,6.13E-05,0.105378663,0.039645853,0.009609223
4,5,1000,20,125,27,0.5,0.5,5000,0.1,0.5,10,5,0.724688195,0.011422156,0.416595442,0.006120746,-2.07E-06,0.002166725,6.05E-05,0.105361776,0.039665565,0.009641639
5,5,1000,20,125,27,0.5,0.5,5500,0.1,0.5,10,5,0.724621012,0.011572432,0.416556822,0.005613554,-3.04E-06,0.002231666,6.29E-05,0.10541597,0.039625748,0.009638518
6,5,1000,20,125,27,0.5,0.5,6000,0.1,0.5,10,5,0.724539881,0.011554381,0.416510183,0.005191291,-4.22E-06,0.002221354,6.20E-05,0.105392582,0.039646246,0.009628554
7,5,1000,20,125,27,0.5,0.5,6500,0.1,0.5,10,5,0.724532757,0.011542902,0.416506087,0.00483022,-4.40E-06,0.002240259,6.17E-05,0.105353861,0.039672114,0.009616595
8,5,1000,20,125,27,0.5,0.5,7000,0.1,0.5,10,5,0.724507899,0.011575547,0.416491798,0.004527705,-4.45E-06,0.002241663,6.25E-05,0.105407659,0.03962787,0.009646321
9,5,1000,20,125,27,0.5,0.5,7500,0.1,0.5,10,5,0.724594533,0.0116177,0.4165416,0.004268283,-4.61E-06,0.002209094,6.18E-05,0.105500995,0.039624233,0.009660432
10,5,1000,20,125,27,0.5,0.5,8000,0.1,0.5,10,5,0.724662279,0.011644787,0.416580544,0.00404579,-5.10E-06,0.002185321,6.22E-05,0.10542995,0.03964617,0.009647253
11,5,1000,20,125,27,0.5,0.5,8500,0.1,0.5,10,5,0.724570227,0.011563793,0.416527628,0.003851629,-4.78E-06,0.002186927,6.41E-05,0.105425726,0.039623648,0.009640491
12,5,1000,20,125,27,0.5,0.5,9000,0.1,0.5,10,5,0.724494286,0.011579996,0.416483972,0.003680288,-5.55E-06,0.002239763,6.41E-05,0.105436463,0.039639519,0.0096302
13,5,1000,20,125,27,0.5,0.5,9500,0.1,0.5,10,5,0.724576817,0.011645574,0.416531416,0.003523946,-6.07E-06,0.002153554,6.38E-05,0.105360154,0.039674602,0.009651919
14,5,1000,20,125,27,0.5,0.5,10000,0.1,0.5,10,5,0.724515563,0.0115939,0.416496203,0.003397362,-6.00E-06,0.002200843,6.16E-05,0.105446426,0.03961594,0.009638625
