,repeat time,n,m,d,s,pi1,pi2,Maxiter,lambda,rho,c,deg,error,error_sd,Nerror,error_to_tall,Q_loss_to_tall,error_to_all,Q_loss_to_all,beta_1,beta_14,beta_27
1,5,5000,20,125,27,0.5,0.5,500,0.1,0.5,10,5,0.730106536,0.005171377,0.419710239,0.058603111,0.000516464,0.000518446,1.16E-05,0.097079209,0.039644887,0.010304176
2,5,5000,20,125,27,0.5,0.5,1000,0.1,0.5,10,5,0.730229788,0.005169907,0.419781092,0.029331777,0.00013553,0.000448184,1.14E-05,0.097026401,0.03964346,0.010301148
3,5,5000,20,125,27,0.5,0.5,1500,0.1,0.5,10,5,0.730247038,0.005126555,0.419791008,0.019578454,6.36E-05,0.000450306,1.16E-05,0.096999307,0.039640565,0.010297852
4,5,5000,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.730195921,0.005129854,0.419761623,0.014687838,3.75E-05,0.000446158,1.20E-05,0.097027928,0.039643296,0.010300252
5,5,5000,20,125,27,0.5,0.5,2500,0.1,0.5,10,5,0.730194078,0.005144178,0.419760564,0.011748811,2.47E-05,0.000446529,1.16E-05,0.097028703,0.039644829,0.010296393
6,5,5000,20,125,27,0.5,0.5,3000,0.1,0.5,10,5,0.73021286,0.005077116,0.41977136,0.009791194,1.76E-05,0.000440551,1.15E-05,0.097015014,0.039632096,0.01030879
7,5,5000,20,125,27,0.5,0.5,3500,0.1,0.5,10,5,0.73023035,0.005163578,0.419781415,0.008392864,1.34E-05,0.000461459,1.16E-05,0.097000623,0.03963691,0.010306464
8,5,5000,20,125,27,0.5,0.5,4000,0.1,0.5,10,5,0.73022299,0.005110387,0.419777184,0.007348738,1.06E-05,0.000466962,1.18E-05,0.097014118,0.039627646,0.010302085
9,5,5000,20,125,27,0.5,0.5,4500,0.1,0.5,10,5,0.730182794,0.005126649,0.419754077,0.006533104,8.34E-06,0.000480413,1.19E-05,0.097021332,0.039634703,0.010299992
10,5,5000,20,125,27,0.5,0.5,5000,0.1,0.5,10,5,0.730176852,0.005142283,0.419750661,0.005877662,6.83E-06,0.000449158,1.16E-05,0.097031417,0.039637236,0.010310796
11,5,5000,20,125,27,0.5,0.5,5500,0.1,0.5,10,5,0.73017985,0.005138678,0.419752385,0.005341805,5.80E-06,0.000458434,1.20E-05,0.097029868,0.039634753,0.01031539
12,5,5000,20,125,27,0.5,0.5,6000,0.1,0.5,10,5,0.73016536,0.005130809,0.419744054,0.004898243,4.74E-06,0.000473677,1.20E-05,0.097021256,0.03962951,0.010310892
13,5,5000,20,125,27,0.5,0.5,6500,0.1,0.5,10,5,0.73023755,0.005193371,0.419785554,0.004519513,4.14E-06,0.000470814,1.18E-05,0.09701307,0.03962619,0.010303481
14,5,5000,20,125,27,0.5,0.5,7000,0.1,0.5,10,5,0.730206062,0.005174386,0.419767452,0.004202142,3.39E-06,0.00046052,1.16E-05,0.097020354,0.039628139,0.010301556
1,5,5000,20,125,27,0.5,0.5,7500,0.1,0.5,10,5,0.730156139,0.005126273,0.419738754,0.003920936,3.04E-06,0.000470018,1.19E-05,0.097030795,0.039632274,0.010304354
2,5,5000,20,125,27,0.5,0.5,8000,0.1,0.5,10,5,0.730192693,0.005159602,0.419759767,0.003677242,2.62E-06,0.000454414,1.19E-05,0.097036289,0.039625775,0.010307162
3,5,5000,20,125,27,0.5,0.5,8500,0.1,0.5,10,5,0.730180607,0.005149431,0.41975282,0.003461596,2.32E-06,0.000464362,1.19E-05,0.097018774,0.039632541,0.010304684
4,5,5000,20,125,27,0.5,0.5,9000,0.1,0.5,10,5,0.730178641,0.00516637,0.419751689,0.003268124,1.84E-06,0.000459265,1.19E-05,0.097021687,0.039627942,0.010300354
5,5,5000,20,125,27,0.5,0.5,9500,0.1,0.5,10,5,0.730218493,0.00517284,0.419774599,0.003098764,1.78E-06,0.000467547,1.18E-05,0.097031429,0.039631406,0.010304348
6,5,5000,20,125,27,0.5,0.5,10000,0.1,0.5,10,5,0.730210829,0.005166106,0.419770193,0.002947122,1.42E-06,0.00045618,1.17E-05,0.09701653,0.039619393,0.010300905
