,repeat time,n,m,d,s,pi1,pi2,Maxiter,lambda,rho,c,deg,error,error_sd,Nerror,error_to_tall,Q_loss_to_tall,error_to_all,Q_loss_to_all,beta_1,beta_14,beta_27
1,5,500,20,125,27,0.5,0.5,500,0.1,0.5,10,5,0.733857877,0.020069118,0.421866741,0.056444109,0.000445078,0.005076658,0.000150594,0.100244278,0.038353166,0.010912698
2,5,500,20,125,27,0.5,0.5,1000,0.1,0.5,10,5,0.734784608,0.019752502,0.422399483,0.027828089,9.80E-05,0.004715959,0.00015758,0.099701429,0.038111141,0.010871262
3,5,500,20,125,27,0.5,0.5,1500,0.1,0.5,10,5,0.735214216,0.019414019,0.422646448,0.018558379,3.52E-05,0.004554155,0.000155813,0.099869464,0.038193862,0.01080346
4,5,500,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.73487963,0.019403909,0.422454108,0.013934103,1.20E-05,0.004757483,0.00016047,0.099824275,0.038245034,0.010866451
5,5,500,20,125,27,0.5,0.5,2500,0.1,0.5,10,5,0.734569374,0.019336531,0.422275753,0.011194449,3.85E-06,0.004764647,0.000156105,0.099884801,0.038302991,0.010939079
6,5,500,20,125,27,0.5,0.5,3000,0.1,0.5,10,5,0.734968366,0.019538165,0.422505119,0.009418637,-3.02E-06,0.004670753,0.000158364,0.099962287,0.038279585,0.010912218
7,5,500,20,125,27,0.5,0.5,3500,0.1,0.5,10,5,0.734842634,0.01945215,0.42243284,0.008182193,-5.22E-06,0.004650923,0.000154583,0.099918438,0.038236887,0.010838154
8,5,500,20,125,27,0.5,0.5,4000,0.1,0.5,10,5,0.734626692,0.019341811,0.422308703,0.007297857,-6.51E-06,0.004540233,0.000159055,0.099757966,0.038226899,0.010881396
9,5,500,20,125,27,0.5,0.5,4500,0.1,0.5,10,5,0.734702293,0.019812834,0.422352163,0.006639516,-9.65E-06,0.004706854,0.000157382,0.099972383,0.038241606,0.01082911
10,5,500,20,125,27,0.5,0.5,5000,0.1,0.5,10,5,0.734765824,0.019486025,0.422388685,0.006112099,-9.95E-06,0.00457332,0.000156294,0.09986803,0.038195674,0.010867287
11,5,500,20,125,27,0.5,0.5,5500,0.1,0.5,10,5,0.73516017,0.020082624,0.422615379,0.005713399,-1.15E-05,0.004487045,0.000157191,0.099740594,0.038234394,0.010893052
12,5,500,20,125,27,0.5,0.5,6000,0.1,0.5,10,5,0.73486142,0.019352732,0.422443639,0.005423113,-1.05E-05,0.00464366,0.000156925,0.099942727,0.038216984,0.01087725
13,5,500,20,125,27,0.5,0.5,6500,0.1,0.5,10,5,0.734864412,0.019045315,0.422445359,0.005196416,-1.09E-05,0.004653889,0.000154188,0.099948001,0.038259258,0.010897885
14,5,500,20,125,27,0.5,0.5,7000,0.1,0.5,10,5,0.734992026,0.018993972,0.422518719,0.004969049,-1.09E-05,0.004481364,0.000154845,0.099836622,0.038201928,0.010908452
1,5,500,20,125,27,0.5,0.5,7500,0.1,0.5,10,5,0.734840076,0.019283847,0.422431369,0.004787625,-1.25E-05,0.004515797,0.000150178,0.099812952,0.038253874,0.01093408
2,5,500,20,125,27,0.5,0.5,8000,0.1,0.5,10,5,0.735041363,0.019273431,0.422547082,0.004665412,-1.02E-05,0.004489023,0.00015588,0.099531899,0.038243597,0.010810763
3,5,500,20,125,27,0.5,0.5,8500,0.1,0.5,10,5,0.735367967,0.019697659,0.422734834,0.004579139,-1.26E-05,0.004606447,0.000150934,0.099618282,0.038160444,0.01087031
4,5,500,20,125,27,0.5,0.5,9000,0.1,0.5,10,5,0.734944526,0.019254347,0.422491414,0.004468628,-1.17E-05,0.004688006,0.000155901,0.099769396,0.038187867,0.010839419
5,5,500,20,125,27,0.5,0.5,9500,0.1,0.5,10,5,0.735175789,0.019110459,0.422624358,0.004391006,-1.27E-05,0.004662989,0.000157694,0.099722208,0.038140466,0.010844305
6,5,500,20,125,27,0.5,0.5,10000,0.1,0.5,10,5,0.73517458,0.018756409,0.422623663,0.004364406,-1.16E-05,0.00460893,0.000150729,0.099842017,0.03815528,0.010836162
