"","repeat time","n","m","d","s","pi1","pi2","Maxiter","lambda","rho","c","deg","error","error_sd","Nerror","beta_1","beta_14","beta_27"
"1",5,10,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,1.69423745699876,0.209422193815014,0.973952119097316,0.0539186949449427,-0.000147476985905947,-0.0272945415140578
"2",5,15,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,1.10164417131246,0.204257682001969,0.633292972427633,0.0574162993621016,0.0324828492954994,-0.00189003708144311
"3",5,25,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.830797150952362,0.151002700546924,0.477593410750957,0.0813955065174295,0.0303214496657712,-0.00507657985113495
"4",5,39,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.698015968019085,0.0760416119528309,0.401262602480905,0.106945484595469,0.0364366413561763,0.0250306949581234
"5",5,63,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.643555119145922,0.0571338751662716,0.3699551497099,0.0643751305382585,0.0254578348956634,0.0153006133055286
"6",5,100,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.613195531670084,0.0572261748935664,0.352502587535179,0.083378456082395,0.0156388219893034,0.0124419077118526
"7",5,158,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.566805330816271,0.0556344580631183,0.32583464070147,0.0971474527046414,0.0324514412785885,0.00577778533742231
"8",5,251,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.5632866788195,0.0323155324891924,0.323811902652287,0.0776799995745748,0.0366222893300489,0.00569928020771698
"9",5,398,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.531650914195722,0.0115466216376824,0.305625715192371,0.0949189687085662,0.040002460667075,0.013824090829678
"10",5,630,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.539734852706478,0.0179799545424983,0.310272861323321,0.0966558692426287,0.0375878908100802,0.00879470224936875
"11",5,1000,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.524719123847599,0.0164170691582892,0.301640894841006,0.105481801832125,0.0396418339458308,0.0096252838249688
"12",5,1584,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.530216920129197,0.0166300831184276,0.304801367014908,0.102120351122885,0.0382743888600859,0.011332159835424
"13",5,2511,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.531988298763192,0.00861126477789019,0.305819664637344,0.0984126527450933,0.0399836333756988,0.0107736299993959
"14",5,3981,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.535292504009104,0.00655756549248761,0.307719125476139,0.0977283138848428,0.0357389041881994,0.0106947244210569
"15",5,6309,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.527227415597717,0.00618591011198089,0.303082815544182,0.0987550937860295,0.0389784310347524,0.0102133976773327
"16",5,10000,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.530140815419501,0.00363836451379141,0.30475761733686,0.100169685126727,0.0383089606957766,0.00989429030944779
"17",5,15848,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.527901570571376,0.00362132709499979,0.303470361376369,0.099465467161999,0.0384476349290843,0.0103975459668513
"18",5,25118,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.531512896114611,0.00111671615183548,0.305546373892238,0.0995060311721616,0.0371981972609133,0.0100063940623835
"19",5,39810,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.528504781044293,0.00245585285367044,0.303817123936677,0.0992431758115567,0.0374480390402359,0.0101553178404812
"20",5,63095,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.530757808645379,0.000918099047406616,0.305112303073107,0.0985061770638967,0.0370382696717688,0.00972554920861758
"21",5,1e+05,20,125,27,0.5,0.5,2000,0.1,0.5,10,5,0.529898920939404,0.00252472903409088,0.304618561479893,0.0991806059964056,0.0372230539364365,0.00979697694378196
