"","repeat time","n","m","d","s","pi1","pi2","Maxiter","lambda","rho","c","deg","error","error_sd","Nerror","beta_1","beta_14","beta_27"
"1",5,10,20,125,27,0.5,0.5,2000,0,0.5,10,5,12.4647110575126,3.36025007190394,7.16548421134866,0.0571060437152784,-0.00718073037921886,-0.155071615364655
"2",5,15,20,125,27,0.5,0.5,2000,0,0.5,10,5,22.9272908893913,2.64082071989361,13.1800199875404,0.345558339988879,0.257056112217176,0.0403758518232492
"3",5,25,20,125,27,0.5,0.5,2000,0,0.5,10,5,7.1048507474792,1.94685647014228,4.08430613595069,0.2305066484499,0.0462271605426345,-0.0816447439853553
"4",5,39,20,125,27,0.5,0.5,2000,0,0.5,10,5,2.32096782235942,0.627090428032399,1.33423536329317,0.259263500493819,0.0833893595929172,0.0464177410470532
"5",5,63,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.924517207174172,0.247227118191948,0.531469475751224,0.15533011288767,0.00821224260870883,0.0730941288230438
"6",5,100,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.58359266972857,0.131948798437279,0.33548503784037,0.199128946698988,0.0294636830444593,0.0554708210821782
"7",5,158,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.346852764743479,0.0354354171682393,0.19939234836367,0.222690753054994,0.052807514834753,0.033670648752195
"8",5,251,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.187041164618645,0.0328645960871902,0.107522790200532,0.191752195696941,0.0553965548467947,0.0111203151951652
"9",5,398,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.114235558126347,0.0088674657682521,0.0656696400223087,0.226582455824952,0.0542809535642459,0.0531535960069534
"10",5,630,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.0671601378180122,0.00744662223914946,0.0386077868108241,0.201112679751548,0.0454513943953936,0.0358943235255646
"11",5,1000,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.0479094936352247,0.00843746206181831,0.0275413299701004,0.237115630949345,0.0421479484561417,0.0243209186704246
"12",5,1584,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.0294957941090876,0.00622678443798082,0.0169560005053206,0.223085189937431,0.0584302948242646,0.0144418217236946
"13",5,2511,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.0187248785144188,0.0020734812639437,0.0107642143275854,0.212077071561833,0.0528166033602764,0.0260822160527887
"14",5,3981,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.0101006854268885,0.00164474957159672,0.00580649656588289,0.213373922868461,0.0375803233809301,0.0247499135373954
"15",5,6309,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.00677501920653913,0.00094436054425455,0.00389469863617744,0.210229236370127,0.0506508645446069,0.0285890053898613
"16",5,10000,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.00398873234322152,0.000528770360039401,0.00229296920696958,0.217408369031773,0.0522246011499275,0.0257422958832493
"17",5,15848,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.00251338663812289,0.000234069417587071,0.00144484955883753,0.212691794872668,0.0519089356378858,0.0272884739551435
"18",5,25118,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.00162287127867784,0.000301835645957323,0.000932926440954971,0.213957293743162,0.0486381197432486,0.0259556530745935
"19",5,39810,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.00097519741307918,9.64661308718986e-05,0.000560603581914188,0.212605792051437,0.0488980121582412,0.0235192321075082
"20",5,63095,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.000701463951762012,0.000116084321435791,0.000403244716061953,0.211461116901853,0.0507629622936964,0.022139592619346
"21",5,1e+05,20,125,27,0.5,0.5,2000,0,0.5,10,5,0.000418023812792811,5.80274910219468e-05,0.000240305853598535,0.211929923388462,0.0498698756324425,0.0241974458565171
