"","error","Q_loss"
"1",2.17185693050931,0.768873515877092
"2",2.03483749497246,0.712744950824936
"3",4.24372073827332,0.675518973075277
"4",34.2678837563634,0.668388232921589
"5",367.427569464197,0.684319234316215
"6",4092.75992010038,0.707724790399841
"7",46803.5193166459,0.753581628503565
"8",549007.769997409,0.792754550054488
"9",6581354.59591622,0.849188126524405
"10",80313868.1977136,0.894960200855323
"11",994362568.003091,0.956513804861238
"12",12456154712.5623,1.00495343037613
"13",157520365884.431,1.06844779223467
"14",2007290903349.13,1.11889779915889
"15",25736974959364.8,1.18336050184799
"16",331627557995611,1.23505050151663
"17",4290038223688688,1.30044827589595
"18",55672757496434856,1.35299400012594
"19",724296692762975744,1.41870830317818
"20",9441889821274765312,1.4719470269357
"21",1.23279645237346e+20,1.53790352625484
"22",1.61165272675442e+21,1.59178078765154
"23",2.10904549842314e+22,1.65799276922026
"24",2.76213477803912e+23,1.7121061655123
"25",3.61973555953183e+24,1.77848610372755
"26",4.74597328849056e+25,1.83267737610072
