"","error","Q_loss"
"1",2.8398921319245,0.95365859027935
"2",2.72833784859724,0.924866925923094
"3",2.59065832821462,0.887969018549956
"4",2.45766226860488,0.850785584899218
"5",2.33086491153808,0.814811876958874
"6",2.21363453867838,0.783709254280322
"7",2.10893572782179,0.759531765750167
"8",2.01686201892431,0.741285537332147
"9",1.93495206505631,0.727123893971665
"10",1.86116970281477,0.715733340502502
"11",1.79458745551455,0.706393857382673
"12",1.73342656431386,0.69837695858868
"13",1.67712929591607,0.691451010156882
"14",1.62518991270705,0.685388135757361
"15",1.57678036295566,0.680018713637958
"16",1.5321302834787,0.675355347504386
"17",1.49069252216563,0.671243719040528
"18",1.45193788955468,0.667581787610945
"19",1.41571490577369,0.664320080486273
"20",1.3818291533199,0.66140527196337
"21",1.34977486259116,0.658758478177436
"22",1.31965698732107,0.656384343094837
"23",1.29098812481076,0.654196389956899
"24",1.2640664271712,0.652217015856254
"25",1.23838583638927,0.650380527063873
"26",1.21380293051316,0.648654038326821
"27",1.19030879742866,0.647046184485474
"28",1.16815470889327,0.645573500001223
"29",1.14695633794578,0.644199424582157
"30",1.12662777864248,0.642909379217192
"31",1.10727140180119,0.641703816209791
"32",1.08865810086559,0.640596609366094
"33",1.07100584094782,0.639593724528515
"34",1.05412716427147,0.638659386506439
"35",1.03790220490644,0.637785716502628
"36",1.02237635266465,0.636971514680094
"37",1.0076064894947,0.636209207794553
"38",0.993399892054399,0.635487088478393
"39",0.979801520752775,0.634794847866592
"40",0.966723215362581,0.634144261326756
"41",0.954108812890975,0.633527615643774
"42",0.942088238875275,0.632958778791889
"43",0.930513475441843,0.632423094926094
"44",0.919410745730265,0.631915306129192
"45",0.908748164037392,0.631436806982143
"46",0.898350026177652,0.630978155695061
"47",0.888391491281253,0.630544198454767
"48",0.878781521431527,0.63013317751065
"49",0.869546912100764,0.629753716484802
"50",0.860633123157188,0.629401543518493
"51",0.852070803623621,0.629072287298371
"52",0.843909214912505,0.628767883087527
"53",0.83593278787255,0.628469442203952
"54",0.828374683933526,0.628198655190657
"55",0.820954099352559,0.627936297406825
"56",0.813737528770549,0.627686112509826
"57",0.806758445947465,0.627441974054935
"58",0.799936170237297,0.627213599787376
"59",0.793327672000713,0.626988323198706
"60",0.786904613131194,0.626787941763928
"61",0.780733880262774,0.626589210663101
"62",0.774695984937653,0.626407925126078
"63",0.768815412996502,0.626231795108499
"64",0.763172119904637,0.626071052163874
"65",0.757657863841108,0.6259196484028
"66",0.75234358069306,0.625772995145783
"67",0.747207769531242,0.625632408515913
"68",0.742156315582954,0.625492875431579
"69",0.737343241915946,0.625360600154076
"70",0.732598874716097,0.625225635750078
"71",0.727995764377287,0.62509653287242
"72",0.723570789574834,0.624975021927428
"73",0.719237014677365,0.624864703647023
