"","error","Q_loss","error_all","Q_loss_all","error_to_tall","Q_loss_to_tall"
"1",2.81638111449108,0.939576373276233,2.81546737206315,0.947614058576657,0.910063893946533,0.317267691969989
"2",2.66786345756349,0.901758818739896,2.6672142112372,0.908894014915925,0.867428493765984,0.298276013422056
"3",2.52553768814621,0.86566225295254,2.52657761895184,0.870479250489513,0.826293556375319,0.279815299972976
"4",2.37890634336041,0.826996185286174,2.37975965605805,0.828887801166438,0.785193689639784,0.260724168587311
"5",2.24232669212774,0.791513380057513,2.24294597792902,0.791445850947692,0.745557980639137,0.241520519117485
"6",2.12076162286742,0.763355521427121,2.12125736445626,0.762544980979707,0.708343049742067,0.222950479359457
"7",2.01517493941823,0.742300931794263,2.0156590991379,0.74136356033761,0.67399405140762,0.205649886308519
"8",1.92329627500146,0.726129369448599,1.92354181177505,0.725355565175612,0.642504551118336,0.189935973196308
"9",1.84132580041302,0.713276996349352,1.84157573346866,0.712763503599568,0.613583664072335,0.175841044943588
"10",1.76827661963466,0.703004715181504,1.76838444225482,0.702693386930702,0.586980385658523,0.163289794342163
"11",1.70153209101257,0.694445669674727,1.70192141192906,0.694343234687155,0.562385428004523,0.152103548164075
"12",1.64101107346865,0.687405185124225,1.6413264525535,0.687352783335164,0.539585518119755,0.14214961784257
"13",1.58527409226424,0.681339964373765,1.5856062076204,0.681295867885304,0.518365343566465,0.133254490712245
"14",1.53428332985776,0.67610806171403,1.53461452556688,0.676100065686416,0.498570557090733,0.125291934586113
"15",1.48736678562227,0.671516500949806,1.48773551462058,0.671561352200565,0.480059845055656,0.118110745018597
"16",1.44415493701739,0.667505220306481,1.44436351054505,0.667510624421582,0.462711266309113,0.111599618708624
"17",1.40379750807014,0.663864857412469,1.404039592979,0.66389427383229,0.446406319398579,0.105666837970905
"18",1.36626690320959,0.660665855160384,1.36643171478577,0.660671058513075,0.431051154208462,0.100249797014758
"19",1.3311407313116,0.6577950786444,1.33139115650117,0.657795729930638,0.416560417001087,0.0952933477771359
"20",1.29823161860203,0.655242414937792,1.29849614011592,0.655226766353181,0.402860941760709,0.090748228482297
"21",1.2672565880796,0.652931367970768,1.26754901269409,0.652920550381747,0.389884401875572,0.0865562563057277
"22",1.23808199896222,0.650856977819022,1.23849207409658,0.650836078844567,0.377572201408793,0.0826722316369293
"23",1.21040048282147,0.648948191220251,1.21093348307964,0.648910874771864,0.365867883064327,0.0790568171647865
"24",1.18414868906278,0.647129796050258,1.18463736552456,0.647122042850038,0.354723714226083,0.0756869633024199
"25",1.15933053506149,0.645509295661138,1.15981027334497,0.645490271321736,0.344101366065241,0.0725468745291392
"26",1.13575735261683,0.644006530088341,1.13630004641324,0.643971429093792,0.333963091612703,0.0696198577874984
"27",1.11332311579146,0.642599435214482,1.11392432086068,0.642557136810476,0.324275536339744,0.0668710558147266
"28",1.09201780642412,0.641285755864192,1.09273023776495,0.641240928415782,0.31500919894401,0.0642892479103364
"29",1.07184346567111,0.640059194271181,1.07257046609194,0.640016471453321,0.30613938031458,0.0618647367331728
"30",1.05276853787997,0.638971579682426,1.05356008091098,0.638892433344295,0.297643228559365,0.0595853840281227
"31",1.03457650043797,0.637912575094469,1.0355081298518,0.637867495276471,0.289497463162208,0.0574373541342124
"32",1.01726741800147,0.636943939152985,1.01829921633032,0.636935655892182,0.281681628453408,0.0554113656771642
"33",1.00094510289575,0.636136851903231,1.0019868252661,0.636089639637429,0.274179534797386,0.0534977840571511
"34",0.985287853007775,0.635345292583641,0.986435864019076,0.635303839042591,0.266972046036265,0.0516843074885679
"35",0.970265301517714,0.634585754482734,0.971531602135764,0.634560593235837,0.260041007886256,0.049965204808667
"36",0.955915054579904,0.63389571218706,0.957268606853915,0.633865743840506,0.25337187976164,0.0483318496527211
"37",0.942284697950718,0.633234770641667,0.943685868726051,0.633221040988793,0.246952042906527,0.0467737752420208
"38",0.929193964110174,0.632620336087761,0.930700001828242,0.632618301988658,0.240767849700259,0.0452916845160395
"39",0.916689253169735,0.63202233137442,0.918233684890051,0.632038721581091,0.234808442418971,0.0438811843539786
"40",0.904825521656071,0.631459257798167,0.906294856434932,0.631488263973394,0.229063235235453,0.0425388537678704
"41",0.893212878028727,0.630930728302629,0.894916859106349,0.630976940506586,0.223519648316705,0.0412573175387689
"42",0.882228197476061,0.630445440559721,0.883994841425142,0.630498147007286,0.218169094016541,0.0400338815434763
"43",0.871587307361816,0.629999293450556,0.873475980454098,0.630046160896567,0.213001795933163,0.0388662608626641
"44",0.86145994413189,0.629617712164915,0.863423926087622,0.629634177986914,0.208009925581502,0.0377494513319595
"45",0.851853830421119,0.629235268311307,0.853847041669715,0.629259816164197,0.20318673209852,0.0366819245017517
"46",0.842589004903997,0.628884860264332,0.844754022709182,0.628911631086552,0.198523387757013,0.0356598680106816
"47",0.833645793529161,0.628547171239708,0.83594840957113,0.628585327858754,0.194013088121987,0.03467785294996
"48",0.825134511561774,0.62825892013276,0.8274934301499,0.628281450110553,0.189649490707811,0.033734131431416
"49",0.816921845285986,0.627953071176535,0.819352550788063,0.627995297860656,0.185426239161507,0.0328257384516415
"50",0.808942445293731,0.627698072514609,0.811466926241398,0.627722770631696,0.181336431716287,0.0319528233433465
"51",0.801214849027169,0.627420126904146,0.803806550934695,0.62746484862928,0.17737434718927,0.0311138052594661
"52",0.793766774792388,0.627194022538227,0.796386154836389,0.627214915987334,0.173534795959868,0.0303045896768206
"53",0.786472975323948,0.626940868334852,0.789169185725874,0.626973643455245,0.169811728067979,0.0295245611202336
"54",0.779608382176003,0.626746193717579,0.782214371027139,0.626755913127069,0.166201762015809,0.0287742640361921
"55",0.772732001084199,0.626505327204269,0.775509039882397,0.626554291157597,0.162698678660081,0.0280499636153395
"56",0.766188979233552,0.626303866436101,0.769005226148037,0.62636231370942,0.159298968960656,0.0273502302865801
"57",0.75987068832865,0.626134556274445,0.762716289623816,0.626180382537442,0.155998852362357,0.026673998514159
"58",0.753720917719749,0.625966030957049,0.756651300737204,0.626011198746138,0.152794034573235,0.0260204154429158
"59",0.747826449654313,0.625800484751241,0.750796605504526,0.625853435205722,0.149681624975165,0.0253867708239198
"60",0.742183200757252,0.625669905112123,0.745182894498808,0.625698716353555,0.14665803284507,0.0247754774687771
"61",0.736678415182802,0.625502699915211,0.739758739459734,0.625546416867222,0.143719857552688,0.0241851225225972
"62",0.73137414860023,0.625376922325432,0.734511100478753,0.625396595151031,0.140864202978245,0.0236160002858328
"63",0.726355599664641,0.625217425862635,0.729462808183056,0.625251313307277,0.138088829994598,0.0230671044738876
"64",0.721406263942048,0.625095276328827,0.724650481591908,0.62511550908804,0.135389948528075,0.0225365796119311
"65",0.716667471549099,0.624946639994836,0.719975229966801,0.624990308958812,0.132765274376825,0.0220233333222187
"66",0.712056697474956,0.624844405459984,0.715415133162431,0.624873399334236,0.130211895230683,0.0215268557070011
"67",0.707563346614912,0.624699696996743,0.710970942552091,0.62476094839989,0.127727142703165,0.0210448647566823
"68",0.703176907842755,0.624617267506831,0.70658323982524,0.624651070627502,0.125308463923231,0.0205794667775213
"69",0.699013052401227,0.624511192953721,0.702363032521027,0.6245487454591,0.122953902169435,0.0201281094139424
"70",0.69487727911599,0.624432019607613,0.69828399385034,0.624451035322867,0.120660926052472,0.0196905093033225
"71",0.690955210652868,0.624328039972531,0.694349546392405,0.624361540094339,0.118427604985534,0.0192649066180871
"72",0.687141115338728,0.624265526639925,0.690546393607669,0.624275991443101,0.116252057394318,0.018852227689846
"73",0.68350026777888,0.624184222293736,0.686927631164427,0.624197607727989,0.114132570597947,0.0184506896923643
"74",0.679903658214218,0.624104387418186,0.683401252345039,0.624125837054496,0.112066942087075,0.0180621752562804
"75",0.67652447572281,0.624035851662602,0.680031943050719,0.624056617204757,0.110053837594811,0.0176860833160485
"76",0.673189664106489,0.623948818499066,0.676730546166203,0.62399137380363,0.108091143925443,0.0173210458857013
"77",0.670002055342258,0.623902512281963,0.673501682212885,0.623929385591837,0.106177648896027,0.0169670950977575
"78",0.66685372986401,0.623824952038613,0.670377113971367,0.623868449060753,0.104311186861437,0.0166253487610328
"79",0.663804919920201,0.623779346276718,0.667348258259341,0.623810047763369,0.102490591350794,0.0162928203137884
"80",0.66085818102178,0.623725244018826,0.664391596075507,0.62375369954134,0.100714265464806,0.0159695965498229
"81",0.657975975917393,0.623666022179993,0.661521160091763,0.623694571270326,0.0989808263809251,0.0156550779400279
"82",0.655182043398891,0.623622105040329,0.658691899277062,0.623639062407454,0.0972888774873261,0.0153495379748511
"83",0.652424334571679,0.623558863434429,0.655930395610541,0.623582788435507,0.0956370089059912,0.0150521944556942
"84",0.64975612098162,0.623495297495982,0.653236378677069,0.62352494030525,0.0940239164439889,0.014763644681674
"85",0.647184859030985,0.623456201129895,0.650621465085475,0.623472494737257,0.0924486303225102,0.0144824008571729
"86",0.644646038228734,0.623394823507484,0.648063941722904,0.6234235374288,0.0909097562779269,0.014208932880256
"87",0.642149457186634,0.623359815749648,0.645551583433587,0.623377946517148,0.0894062204871613,0.0139433984978622
"88",0.639748037820198,0.623315784813013,0.64309884118191,0.623334578247912,0.0879370329275644,0.0136850426460537
"89",0.637415415561287,0.623306439838446,0.640759803289813,0.623295767728993,0.0865011519925976,0.0134332598515715
"90",0.635092622439159,0.623240344043754,0.638448783063926,0.623254849553061,0.0850975134911276,0.0131862819284192
"91",0.632829072354359,0.623217105948035,0.636184575643654,0.623215544561391,0.0837252075661839,0.0129456508118718
"92",0.630673739005528,0.623172951044131,0.633988436634563,0.623176729755654,0.0823834964000094,0.0127115908989364
"93",0.628526338915709,0.623137720207105,0.631848796925737,0.623143317952174,0.0810713244220814,0.0124835835192756
"94",0.626499542119428,0.62312169117208,0.629758060734922,0.623113210168012,0.0797880817028024,0.0122612567873523
"95",0.62445895474822,0.623079208003288,0.627724233430213,0.623089678984328,0.0785327945956092,0.0120442015137102
"96",0.622498800893995,0.623064733531019,0.625720244681566,0.623064670363878,0.0773047434039529,0.0118322899588137
"97",0.620558251334329,0.623016261014853,0.623788182419243,0.623042604996835,0.0761030889458567,0.011624922309272
"98",0.618724444390077,0.623012996366122,0.621897458962273,0.623016303302554,0.0749272596144675,0.0114227811632883
"99",0.616844911228886,0.622968528771211,0.62007394464797,0.622990634610257,0.0737762150314789,0.0112255333661847
